School Code,Name,City,State,Submitted,Complete
20068000659,SAINT MARY'S SCHOOL,ST MARYS,AK,8,8
20000300412,SCAMMON BAY SCHOOL,SCAMMON BAY,AK,9,8
20018000531,SERVICE HIGH SCHOOL,ANCHORAGE,AK,159,150
20039000540,SEWARD HIGH SCHOOL,SEWARD,AK,16,16
20002000015,SHISHMAREF SCHOOL,SHISHMAREF,AK,10,10
20013000635,SIDNEY C. HUNTINGTON JR/SR HIGH SCHOOL,GALENA,AK,5,5
20024000143,SITKA HIGH SCHOOL,SITKA,AK,29,28
20039000542,SOLDOTNA HIGH SCHOOL,SOLDOTNA,AK,60,55
20018000454,SOUTH ANCHORAGE HIGH SCHOOL,ANCHORAGE,AK,142,140
20060000462,STAR OF THE NORTH SECONDARY SCHOOL,NORTH POLE,AK,,
20018000115,STELLER SECONDARY SCHOOL,ANCHORAGE,AK,12,12
20051000232,SUSITNA VALLEY HIGH,TALKEETNA,AK,9,9
20021000737,THUNDER MOUNTAIN HIGH SCHOOL,JUNEAU,AK,91,88
20005000028,TOK SCHOOL,TOK,AK,,
20077000357,TRI-VALLEY SCHOOL,HEALY,AK,9,8
20051000469,TWINDLY BRIDGE CHARTER SCHOOL,WASILLA,AK,7,7
20002000017,UNALAKLEET SCHOOL,UNALAKLEET,AK,6,6
20072000661,UNALASKA JR/SR HIGH SCHOOL,UNALASKA,AK,19,16
20078000370,VALDEZ HIGH SCHOOL,VALDEZ,AK,24,24
20051000425,VALLEY PATHWAYS,PALMER,AK,8,8
20051000237,WASILLA HIGH SCHOOL,WASILLA,AK,62,58
20018000120,WEST HIGH SCHOOL,ANCHORAGE,AK,205,197
20060000281,WEST VALLEY HIGH SCHOOL,FAIRBANKS,AK,108,106
20081000576,WRANGELL HIGH SCHOOL,WRANGELL,AK,9,8
20021000738,YAAKOOSGE DAAKAHIDI ALT. H.S.,JUNEAU,AK,5,
20000100439,Z. JOHN WILLIAMS MEMORIAL SCHOOL,NAPASKIAK,AK,,
1026,ABBEVILLE CHRISTIAN ACADEMY,ABBEVILLE,AL,15,15
10174000600,ABBEVILLE HIGH SCHOOL,ABBEVILLE,AL,42,40
01FP00000002,ACCEL DAY AND EVENING ACADEMY,MOBILE,AL,46,37
10358001356,ADDISON HIGH SCHOOL,ADDISON,AL,32,32
2788,ALABAMA CHRISTIAN ACADEMY,MONTGOMERY,AL,49,45
10210002436,ALABAMA CONNECTIONS ACADEMY,ATHENS,AL,259,230
10000901404,ALABAMA SCHOOL FOR BLIND,TALLADEGA,AL,10,9
10000901403,ALABAMA SCHOOL FOR DEAF,TALLADEGA,AL,9,8
10001802104,ALABAMA SCHOOL OF FINE ARTS,BIRMINGHAM,AL,49,48
01FP00000003,ALABAMA SCHOOL OF MATH AND SCIENCE,MOBILE,AL,74,74
10141002439,ALABAMA VIRTUAL ACADEMY AT EUFAULA CITY SCHOOLS,EUFAULA,AL,112,102
10248001696,ALBERT P BREWER HIGH SCHOOL,SOMERVILLE,AL,93,82
10000500871,ALBERTVILLE HIGH SCHOOL,ALBERTVILLE,AL,234,218
10054000232,ALEXANDRIA HIGH SCHOOL,ALEXANDRIA,AL,87,79
10273001098,ALICEVILLE HIGH SCHOOL,ALICEVILLE,AL,46,39
10237000989,ALMA BRYANT HIGH SCHOOL,IRVINGTON,AL,203,188
10225000852,AMELIA L JOHNSON HIGH SCHOOL,THOMASTON,AL,16,15
2001272,AMERICAN CHRISTIAN ACADEMY,TUSCALOOSA,AL,46,46
10006000007,ANDALUSIA HIGH SCHOOL,ANDALUSIA,AL,99,94
10009000011,ANNISTON HIGH SCHOOL,ANNISTON,AL,93,81
10042000203,APPALACHIAN  SCHOOL,ONEONTA,AL,31,27
10010000028,ARAB HIGH SCHOOL,ARAB,AL,168,166
10210000797,ARDMORE HIGH SCHOOL,ARDMORE,AL,107,101
10105000388,ARITON SCHOOL,ARITON,AL,41,41
10000600872,ASBURY HIGH SCHOOL,ALBERTVILLE,AL,48,46
10177000611,ASHFORD HIGH SCHOOL,ASHFORD,AL,61,55
10306201362,ASHVILLE HIGH SCHOOL,ASHVILLE,AL,47,43
1445,ATHENS BIBLE SCHOOL,ATHENS,AL,15,14
10012001472,ATHENS HIGH SCHOOL,ATHENS,AL,168,160
10012002417,ATHENS RENAISSANCE SCHOOL,ATHENS,AL,40,40
10021000036,AUBURN HIGH SCHOOL,AUBURN,AL,494,481
10117000426,AUSTIN HIGH SCHOOL,DECATUR,AL,234,208
2722,AUTAUGA ACADEMY,PRATTVILLE,AL,29,28
10024001408,AUTAUGAVILLE SCHOOL,AUTAUGAVILLE,AL,6,5
10237000899,BAKER HIGH SCHOOL,MOBILE,AL,360,327
10027001810,BALDWIN COUNTY HIGH SCHOOL,BAY MINETTE,AL,141,124
0100270F0004,BALDWIN COUNTY VIRTUAL SCHOOL,FAIRHOPE,AL,52,50
01FN00050,BANKS ACADEMY,BIRMINGHAM,AL,11,11
10030000074,BARBOUR COUNTY HIGH SCHOOL,CLAYTON,AL,28,27
A1900005,BAYSHORE CHRISTIAN SCHOOL,FAIRHOPE,AL,20,19
A0500005,BAYSIDE ACADEMY,DAPHNE,AL,31,30
10318001210,BB COMER MEMORIAL HIGH SCHOOL,SYLACAUGA,AL,45,42
10207000790,BEAUREGARD HIGH SCHOOL,OPELIKA,AL,96,90
10159000541,BELGREEN HIGH SCHOOL,RUSSELLVILLE,AL,31,29
10237000898,BEN C RAIN HIGH SCHOOL,MOBILE,AL,103,75
10003000003,BENJAMIN RUSSELL HIGH SCHOOL,ALEXANDER CITY,AL,145,135
10147000521,BERRY HIGH SCHOOL,BERRY,AL,33,30
849,BESSEMER ACADEMY,BESSEMER,AL,28,28
10033000087,BESSEMER CITY HIGH SCHOOL,BESSEMER,AL,134,118
10207000791,BEULAH HIGH SCHOOL,VALLEY,AL,41,35
10036000092,BIBB COUNTY HIGH SCHOOL,CENTREVILLE,AL,60,57
10024000045,BILLINGSLEY HIGH SCHOOL,BILLINGSLEY,AL,36,33
10001200874,BOAZ HIGH SCHOOL,BOAZ,AL,114,109
10000800831,BOB JONES HIGH SCHOOL,MADISON,AL,342,330
10219001811,BOOKER T WASHINGTON HIGH,TUSKEGEE,AL,97,89
10243000504,BOOKER T WASHINGTON MAGNET HIGH SCHOOL,MONTGOMERY,AL,89,87
10096000365,BRANTLEY HIGH SCHOOL,BRANTLEY,AL,27,25
10243001457,BREWBAKER TECHNOLOGY MAGNET HIGH SCHOOL,MONTGOMERY,AL,98,95
1926233,BRIARWOOD CHRISTIAN SCHOOL,BIRMINGHAM,AL,100,97
10231000862,BRILLIANT HIGH SCHOOL,BRILLIANT,AL,20,20
10000601585,BRINDLEE MOUNTAIN HIGH SCHOOL,GUNTERSVILLE,AL,52,50
2000665,BROOKLANE BAPTIST ACADEMY,HUEYTOWN,AL,8,7
10201000764,BROOKS HIGH SCHOOL,KILLEN,AL,87,80
10339001274,BROOKWOOD HIGH SCHOOL,BROOKWOOD,AL,124,120
10222001683,BUCKHORN HIGH SCHOOL,NEW MARKET,AL,189,179
A1900008,BUILD UP,BIRMINGHAM,AL,,
10048000218,BULLOCK COUNTY HIGH SCHOOL,UNION SPRINGS,AL,41,38
10303001170,CALERA HIGH,CALERA,AL,163,156
10216000815,CALHOUN HIGH SCHOOL,LETOHATCHEE,AL,26,22
10345000135,CARBON HILL HIGH SCHOOL,CARBON HILL,AL,62,60
10264001080,CARROLL HIGH SCHOOL,OZARK,AL,144,129
10243001015,CARVER SENIOR HIGH SCHOOL,MONTGOMERY,AL,104,92
10063000274,CEDAR BLUFF HIGH SCHOOL,CEDAR BLUFF,AL,28,28
10192000702,CENTER POINT HIGH SCHOOL,CENTER POINT,AL,120,109
1682,CENTRAL CHRISTIAN SCHOOL,ROBERTSDALE,AL,10,10
10270001088,CENTRAL HIGH SCHOOL,PHENIX CITY,AL,294,268
10216000817,CENTRAL HIGH SCHOOL,HAYNEVILLE,AL,16,13
10336001608,CENTRAL HIGH SCHOOL,TUSCALOOSA,AL,102,91
10090001749,CENTRAL HIGH SCHOOL,ROCKFORD,AL,25,23
10201000765,CENTRAL HIGH SCHOOL,FLORENCE,AL,62,57
10075002210,CENTRAL HIGH SCHOOL OF CLAY COUNTY,LINEVILLE,AL,99,92
2000676,CENTRAL PARK CHRISTIAN SCHOOLS,BIRMINGHAM,AL,,
10237000964,CF VIGOR HIGH SCHOOL,PRICHARD,AL,82,73
1693,CHAMBERS ACADEMY,LAFAYETTE,AL,31,28
CB040017,CHAPMAN CHRISTIAN ACADEMY,MILLBROOK,AL,11,10
10333001602,CHARLES HENDERSON HIGH SCHOOL,TROY,AL,83,76
10303001171,CHELSEA HIGH SCHOOL,CHELSEA,AL,224,219
10063000278,CHEROKEE COUNTY HIGH SCHOOL,CENTRE,AL,69,67
10084000333,CHEROKEE HIGH SCHOOL,CHEROKEE,AL,19,19
10018802194,CHICKASAW CITY HIGH SCHOOL,CHICKASAW,AL,32,30
10318001213,CHILDERSBURG HIGH SCHOOL,CHILDERSBURG,AL,43,40
AA000278,CHILTON CHRISTIAN ACADEMY,JEMISON,AL,,
10066001491,CHILTON COUNTY HIGH SCHOOL,CLANTON,AL,104,99
10069000291,CHOCTAW COUNTY HIGH SCHOOL,BUTLER,AL,38,37
A0500011,CHURCHILL ACADEMY,MONTGOMERY,AL,9,9
10237000906,CITRONELLE HIGH SCHOOL,CITRONELLE,AL,92,80
10072000298,CLARKE COUNTY HIGH SCHOOL,GROVE HILL,AL,41,38
A0100108,CLARKE PREP SCHOOL,GROVE HILL,AL,19,18
A0500025,CLAY COUNTY CHRISTIAN ACADEMY,ASHLAND,AL,14,14
10192000469,CLAYCHALKVILLE HIGH SCHOOL,PINSON,AL,208,186
10078000318,CLEBURNE COUNTY HIGH SCHOOL,HEFLIN,AL,82,78
10210000799,CLEMENTS HIGH SCHOOL,ATHENS,AL,43,35
10042000206,CLEVELAND HIGH SCHOOL,CLEVELAND,AL,38,37
10084000334,COLBERT COUNTY HIGH SCHOOL,LEIGHTON,AL,38,35
10084000335,COLBERT HEIGHTS HIGH SCHOOL,TUSCUMBIA,AL,53,52
10102000374,COLD SPRINGS HIGH SCHOOL,BREMEN,AL,40,38
10114000411,COLLINSVILLE HIGH SCHOOL,COLLINSVILLE,AL,63,62
10180001651,COLUMBIA HIGH SCHOOL,HUNTSVILLE,AL,89,79
A0500012,COLUMBUS GIRLS ACADEMY,SEALE,AL,9,9
A0500013,CONECUH SPRINGS CHRISTIAN SCHOOL,UNION SPRINGS,AL,6,6
01FN00224,CONTEMPORARY EDUCATION ACADEMY,HUNTSVILLE,AL,5,
2187186,COOSA CHRISTIAN SCHOOL,GADSDEN,AL,,
1729,COOSA VALLEY ACADEMY,HARPERSVILLE,AL,13,9
10345001308,CORDOVA HIGH SCHOOL,CORDOVA,AL,73,68
10192000698,CORNER HIGH SCHOOL,DORA,AL,100,92
A0770032,CORNERSTONE CHRISTIAN ACADEMY,RAINSVILLE,AL,17,17
A9900015,CORNERSTONE CHRISTIAN SCHOOL,COLUMBIANA,AL,9,9
BB170001,CORNERSTONE CLASSICAL CHRISTIAN ACADEMY,MONTGOMERY,AL,5,5
A9500008,CORNERSTONE SCHOOLS OF ALABAMA,BIRMINGHAM,AL,35,34
A1970033,COTTAGE HILL CHRISTIAN ACADEMY,MOBILE,AL,,
A0100110,COTTAGE HILL CHRISTIAN ACADEMY - WEST CAMPUS,MOBILE,AL,41,38
10177000612,COTTONWOOD HIGH SCHOOL,COTTONWOOD,AL,38,32
A9300007,COVENANT CHRISTIAN SCHOOL,TUSCUMBIA,AL,12,12
A0300019,CRENSHAW CHRISTIAN ACADEMY,LUVERNE,AL,7,7
01FN00308,CROSSROADS CHRISTIAN S,MOODY,AL,18,18
10114001860,CROSSVILLE HIGH SCHOOL,CROSSVILLE,AL,88,80
A0900020,CULLMAN CHRISTIAN SCHOOL,CULLMAN,AL,,
10099000370,CULLMAN HIGH SCHOOL,CULLMAN,AL,173,161
10345001310,CURRY HIGH SCHOOL,JASPER,AL,88,81
10321001229,DADEVILLE HIGH SCHOOL,DADEVILLE,AL,61,61
10105000389,DALE COUNTY HIGH SCHOOL,MIDLAND CITY,AL,77,68
10108000394,DALEVILLE HIGH SCHOOL,DALEVILLE,AL,68,65
10111000397,DALLAS COUNTY HIGH SCHOOL,PLANTERSVILLE,AL,66,60
10248001042,DANVILLE HIGH SCHOOL,DANVILLE,AL,47,45
10027001759,DAPHNE HIGH SCHOOL,DAPHNE,AL,248,237
1944,DECATUR HERITAGE CHRISTIAN ACADEMY,DECATUR,AL,24,24
10117000429,DECATUR HIGH SCHOOL,DECATUR,AL,154,145
10120000148,DEMOPOLIS HIGH SCHOOL,DEMOPOLIS,AL,147,139
10342001297,DESHLER HIGH SCHOOL,TUSCUMBIA,AL,66,65
10345001311,DORA HIGH SCHOOL,DORA,AL,66,66
10123002512,DOTHAN CITY VIRTUAL SCHOOL,DOTHAN,AL,6,6
10123001501,DOTHAN HIGH SCHOOL,DOTHAN,AL,338,318
10000600878,DOUGLAS HIGH SCHOOL,DOUGLAS,AL,93,80
10204001546,EAST LAWRENCE HIGH SCHOOL,TRINITY,AL,60,58
10210000800,EAST LIMESTONE HIGH SCHOOL,ATHENS,AL,116,109
A0100134,EASTWOOD CHRISTIAN SCHOOL,MONTGOMERY,AL,9,9
10129002494,EDGE VIRTUAL SCHOOL,WEUMPKA,AL,24,22
1864,EDGEWOOD ACADEMY,ELMORE,AL,10,10
10126000461,ELBA HIGH SCHOOL,ELBA,AL,43,39
10027000057,ELBERTA HIGH SCHOOL,ELBERTA,AL,78,73
10210001549,ELKMONT HIGH SCHOOL,ELKMONT,AL,51,47
01FN00395,ELLWOOD CHRISTIAN ACADEMY,SELMA,AL,6,5
10129000463,ELMORE COUNTY HIGH SCHOOL,ECLECTIC,AL,57,52
2802,EMMANUEL CHRISTIAN SCHOOL,DOTHAN,AL,17,16
10132000476,ENTERPRISE HIGH SCHOOL,ENTERPRISE,AL,369,345
1015,ESCAMBIA ACADEMY,ATMORE,AL,13,13
10135000484,ESCAMBIA COUNTY HIGH SCHOOL,ATMORE,AL,53,48
A1990003,ESSENTIAL CHURCH SCHOOL,BIRMINGHAM,AL,10,10
10018000033,ETOWAH HIGH SCHOOL,ATTALLA,AL,77,70
10141000511,EUFAULA HIGH SCHOOL,EUFAULA,AL,135,126
A9700008,EVANGEL CHRISTIAN ACADEMY,MONTGOMERY,AL,18,18
A0770049,EVANGEL CLASSICAL CHRISTIAN SCHOOL,ALABASTER,AL,75,70
01FN00200,EVEREST ACADEMY,HAYDEN,AL,8,8
01FN00225,EXCALIBUR CHRISTIAN SCHOOL,HUNTSVILLE,AL,6,6
01FN00265,EXCALIBUR CHRISTIAN SCHOOL,MADISON,AL,9,9
10240000975,EXCEL HIGH SCHOOL,EXCEL,AL,49,47
01FN00298,EZEKIEL ACADEMY,MONTGOMERY,AL,39,36
10144000516,FAIRFIELD HIGH PREPARATORY SCHOOL,FAIRFIELD,AL,75,66
10027000100,FAIRHOPE HIGH SCHOOL,FAIRHOPE,AL,313,301
10102000377,FAIRVIEW HIGH SCHOOL,CULLMAN,AL,55,49
A9100128,FAITH ACADEMY,MOBILE,AL,70,68
A9100130,FAITH CHRISTIAN SCHOOL,ANNISTON,AL,22,21
01FN00438,FAITH COMMUNITY CHRISTIAN SCHOOL,TRUSSVILLE,AL,5,5
01FN00226,FAITH COVENANT CHRISTIAN ACADEMY,HUNTSVILLE,AL,59,49
10248001044,FALKVILLE HIGH SCHOOL,FALKVILLE,AL,44,41
10147001787,FAYETTE COUNTY HIGH SCHOOL,FAYETTE,AL,58,56
10318001216,FAYETTEVILLE HIGH SCHOOL,SYLACAUGA,AL,35,30
A9900026,FIRST ASSEMBLY CHRISTIAN SCHOOL,ASHLAND,AL,,
10135000487,FLOMATON HIGH SCHOOL,FLOMATON,AL,61,58
10093000360,FLORALA HIGH SCHOOL,FLORALA,AL,16,15
10153000528,FLORENCE HIGH SCHOOL,FLORENCE,AL,225,219
10027001784,FOLEY HIGH SCHOOL,FOLEY,AL,158,146
1897,FORT DALE ACADEMY,GREENVILLE,AL,24,24
10156000538,FORT PAYNE HIGH SCHOOL,FORT PAYNE,AL,189,181
01FN00285,FOUNDATIONS CHRISTIAN SCHOOL,MOBILE,AL,,
10348001336,FRUITDALE HIGH SCHOOL,FRUITDALE,AL,13,13
10192000704,FULTONDALE HIGH SCHOOL,BIRMINGHAM,AL,64,56
10114000415,FYFFE HIGH SCHOOL,FYFFE,AL,59,57
10162001824,GADSDEN CITY HIGH SCHOOL,GADSDEN,AL,197,184
10192000706,GARDENDALE HIGH SCHOOL,GARDENDALE,AL,191,180
10138000496,GASTON HIGH SCHOOL,GADSDEN,AL,39,38
10063000279,GAYLESVILLE HIGH SCHOOL,GAYLESVILLE,AL,22,21
10087002360,GENESIS SCHOOL,EVERGREEN,AL,41,37
10166000570,GENEVA COUNTY HIGH SCHOOL,HARTFORD,AL,52,52
10164000567,GENEVA HIGH SCHOOL,GENEVA,AL,70,64
10105000390,GEORGE W LONG HIGH SCHOOL,SKIPPERVILLE,AL,58,56
10039001468,GEORGE WASHINGTON CARVER HIGH SCHOOL,BIRMINGHAM,AL,101,90
10051002144,GEORGIANA SCHOOL,GEORGIANA,AL,25,25
10114000416,GERALDINE SCHOOL,GERALDINE,AL,68,68
10138000498,GLENCOE HIGH SCHOOL,GLENCOE,AL,65,60
962,GLENWOOD SCHOOL,SMITHS STATION,AL,32,32
10102000379,GOOD HOPE HIGH SCHOOL,CULLMAN,AL,74,65
10273001104,GORDO HIGH SCHOOL,GORDO,AL,61,54
10279001114,GOSHEN HIGH SCHOOL,GOSHEN,AL,39,37
2551,GOVERNMENT STREET CHRISTIAN SCHOOL,MOBILE,AL,,
10168000576,GREENE COUNTY HIGH SCHOOL,EUTAW,AL,53,51
10171002162,GREENSBORO HIGH SCHOOL,GREENSBORO,AL,52,44
10051000226,GREENVILLE HIGH SCHOOL,GREENVILLE,AL,96,61
10027000641,GULF SHORES HIGH SCHOOL,GULF SHORES,AL,142,135
10169000582,GUNTERSVILLE HIGH SCHOOL,GUNTERSVILLE,AL,126,123
10231000866,HACKLEBURG HIGH SCHOOL,HACKLEBURG,AL,28,28
10171000588,HALE COUNTY HIGH SCHOOL,MOUNDVILLE,AL,62,58
10172000594,HALEYVILLE HIGH SCHOOL,HALEYVILLE,AL,85,82
10231000868,HAMILTON HIGH SCHOOL,HAMILTON,AL,94,91
10102000380,HANCEVILLE HIGH SCHOOL,HANCEVILLE,AL,35,31
10285001126,HANDLEY HIGH SCHOOL,ROANOKE,AL,75,71
10173000599,HARTSELLE HIGH SCHOOL,HARTSELLE,AL,232,222
A9900037,HARVEST CHRISTIAN SCHOOL,OZARK,AL,5,5
01FN00123,HARVEST CHURCH SCHOOL,DOTHAN,AL,7,7
10204000780,HATTON HIGH SCHOOL,TOWN CREEK,AL,46,44
10042000208,HAYDEN HIGH SCHOOL,HAYDEN,AL,100,97
10222000836,HAZEL GREEN HIGH SCHOOL,HAZEL GREEN,AL,174,164
10174000604,HEADLAND HIGH SCHOOL,HEADLAND,AL,76,71
10303002191,HELENA HIGH SCHOOL,HELENA,AL,234,227
01FN00216,HERITAGE CHRISTIAN ACADEMY,HOOVER,AL,10,10
10001301682,HEWITTTRUSSVILLE HIGH SCHOOL,TRUSSVILLE,AL,282,272
10096000367,HIGHLAND HOME SCHOOL,HIGHLAND HOME,AL,38,35
10087001766,HILLCREST HIGH SCHOOL,EVERGREEN,AL,59,56
10339000052,HILLCREST HIGH SCHOOL,TUSCALOOSA,AL,237,226
10138001662,HOKES BLUFF HIGH SCHOOL,HOKES BLUFF,AL,65,62
10102000381,HOLLY POND HIGH SCHOOL,HOLLY POND,AL,33,31
10339001282,HOLT HIGH SCHOOL,HOLT,AL,61,57
10129000465,HOLTVILLE HIGH SCHOOL,DEATSVILLE,AL,58,55
237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,BIRMINGHAM,AL,43,40
44,HOLY SPIRIT CATHOLIC REGIONAL SCHOOL,TUSCALOOSA,AL,6,6
A0300024,HOLY SPIRIT HIGH SCHOOL,TUSCALOOSA,AL,10,10
10176000608,HOMEWOOD HIGH SCHOOL,HOMEWOOD,AL,231,225
2063,HOOPER ACADEMY,HOPE HULL,AL,17,16
10000700251,HOOVER HIGH SCHOOL,HOOVER,AL,480,451
01FN00350,HOPE CHRISTIAN,PELHAM,AL,28,28
10321000038,HORSESHOE BEND HIGH SCHOOL,NEW SITE,AL,30,28
1503,HOUSTON ACADEMY,DOTHAN,AL,36,34
10177000614,HOUSTON COUNTY HIGH SCHOOL,COLUMBIA,AL,30,26
10147000525,HUBBERTVILLE SCHOOL,FAYETTE,AL,19,17
10192000717,HUEYTOWN HIGH SCHOOL,HUEYTOWN,AL,177,152
10039000141,HUFFMAN HIGH SCHOOLMAGNET,BIRMINGHAM,AL,218,197
A0100214,HUNTSVILLE CHRISTIAN ACADEMY,HUNTSVILLE,AL,,
10180000631,HUNTSVILLE HIGH SCHOOL,HUNTSVILLE,AL,251,242
10114000419,IDER SCHOOL,IDER,AL,43,39
1401,INDIAN SPRINGS SCHOOL,INDIAN SPRINGS,AL,27,27
10060000738,INSPIRE ACADEMY,LAFAYETTE,AL,8,7
10066000261,ISABELLA HIGH SCHOOL,MAPLESVILLE,AL,24,21
