School Code,Name,City,State,Submitted,Completed,Cycle,As of Date
020010000599,ALASKA HOMESCHOOL,DELTA JUNCTION,AK,<5,<5,2023/2024,12/31/23
020018000763,ALASKA MIDDLE COLLEGE SCHOOL,ANCHORAGE,AK, 15, 15,2023/2024,12/31/23
02FN00011,ALASKA MILITARY YOUTH ACADEMY,ANCHORAGE,AK,<5,<5,2023/2024,12/31/23
00023866,ANCHORAGE CHRISTIAN SCHOOLS,ANCHORAGE,AK, 16, 14,2023/2024,12/31/23
020002000467,ANTHONY A. ANDREWS SCHOOL,ST MICHAEL,AK,<5,<5,2023/2024,12/31/23
020000100211,AYAGINA'AR ELITNAURVIK,KONGIGANAK,AK,<5,<5,2023/2024,12/31/23
020061000286,BARROW HIGH SCHOOL,BARROW,AK, 13, 11,2023/2024,12/31/23
020018000057,BARTLETT HIGH SCHOOL,ANCHORAGE,AK, 116, 109,2023/2024,12/31/23
020060000260,BEN EIELSON JR/SR HIGH SCHOOL,EIELSON AFB,AK, 22, 22,2023/2024,12/31/23
020018000110,BENSON SECONDARY/S.E.A.R.C.H.,ANCHORAGE,AK, 15, 12,2023/2024,12/31/23
020000100208,BETHEL REGIONAL HIGH SCHOOL,BETHEL,AK, 23, 21,2023/2024,12/31/23
020018000075,BETTYE DAVIS EAST ANCHORAGE HIGH SCHOOL,ANCHORAGE,AK, 161, 149,2023/2024,12/31/23
A0900093,BIRCHWOOD CHRISTIAN SCHOOL,CHUGIAK,AK, 5, 5,2023/2024,12/31/23
020051000720,BURCHELL HIGH SCHOOL,WASILLA,AK, 14, 12,2023/2024,12/31/23
020018000069,CHUGIAK HIGH SCHOOL,CHUGIAK,AK, 106, 98,2023/2024,12/31/23
020051000711,COLONY HIGH SCHOOL,PALMER,AK, 99, 92,2023/2024,12/31/23
020039000397,CONNECTIONS,SOLDOTNA,AK, 23, 21,2023/2024,12/31/23
01922079,COOK INLET ACADEMY,SOLDOTNA,AK, 7, 7,2023/2024,12/31/23
020006000029,CORDOVA JR/SR HIGH SCHOOL,CORDOVA,AK, 21, 19,2023/2024,12/31/23
020009000038,CRAIG HIGH SCHOOL,CRAIG,AK, 5, 5,2023/2024,12/31/23
020054000321,CYBERLYNX CORRESPONDENCE PROGRAM,NENANA,AK, 35, 34,2023/2024,12/31/23
