School Code,Name,City,State,Submitted,Completed,Cycle,As of Date
020051000747,MAT-SU MIDDLE COLLEGE SCHOOL,EAGLE RIVER,AK,73,72,2023/2024,10/31/23
020018000432,MCLAUGHLIN SECONDARY SCHOOL,ANCHORAGE,AK,7,6,2023/2024,10/31/23
020052500648,METLAKATLA HIGH SCHOOL,METLAKATLA,AK,15,15,2023/2024,10/31/23
00023651,MONROE CATHOLIC JR/SR HIGH SCHOOL,FAIRBANKS,AK,17,17,2023/2024,10/31/23
020000300220,MOUNTAIN VILLAGE SCHOOL,MOUNTAIN VILLAGE,AK,6,6,2023/2024,10/31/23
020000600558,MT. EDGECUMBE HIGH SCHOOL,SITKA,AK,58,48,2023/2024,10/31/23
020000100213,NELSON ISLAND AREA SCHOOL,TOKSOOK BAY,AK,<5,<5,2023/2024,10/31/23
020054000251,NENANA CITY SCHOOL,NENANA,AK,12,10,2023/2024,10/31/23
020039000645,NIKISKI MIDDLE/SENIOR HIGH SCHOOL,NIKISKI,AK,12,12,2023/2024,10/31/23
020039000165,NINILCHIK SCHOOL,NINILCHIK,AK,<5,<5,2023/2024,10/31/23
020057000568,NOME-BELTZ MIDDLE/HIGH,NOME,AK,18,18,2023/2024,10/31/23
020060000273,NORTH POLE HIGH SCHOOL,NORTH POLE,AK,56,49,2023/2024,10/31/23
020018000756,PAIDEIA COOPERATIVE SCHOOL,ANCHORAGE,AK,<5,<5,2023/2024,10/31/23
020051000227,PALMER HIGH SCHOOL,PALMER,AK,68,66,2023/2024,10/31/23
020066000570,PETERSBURG HIGH SCHOOL,PETERSBURG,AK,15,15,2023/2024,10/31/23
020000300410,PILOT STATION SCHOOL,PILOT STATION,AK,6,5,2023/2024,10/31/23
020018000101,POLARIS K-12 SCHOOL,ANCHORAGE,AK,27,23,2023/2024,10/31/23
020086200453,RAVEN SCHOOL,WASILLA,AK,8,6,2023/2024,10/31/23
020086200453,RAVEN SCHOOL,ANCHORAGE,AK,<5,<5,2023/2024,10/31/23
020086200453,RAVEN SCHOOL,FAIRBANKS,AK,31,28,2023/2024,10/31/23
020039000735,RIVER CITY ACADEMY,SOLDOTNA,AK,15,14,2023/2024,10/31/23
020018000109,S.A.V.E. HIGH SCHOOL,ANCHORAGE,AK,15,10,2023/2024,10/31/23
020068000659,SAINT MARY'S SCHOOL,ST MARYS,AK,6,6,2023/2024,10/31/23
020000700461,SAND POINT SCHOOL,SAND POINT,AK,7,6,2023/2024,10/31/23
020000300412,SCAMMON BAY SCHOOL,SCAMMON BAY,AK,<5,<5,2023/2024,10/31/23
020018000531,SERVICE HIGH SCHOOL,ANCHORAGE,AK,159,154,2023/2024,10/31/23
020039000540,SEWARD HIGH SCHOOL,SEWARD,AK,10,10,2023/2024,10/31/23
020002000015,SHISHMAREF SCHOOL,SHISHMAREF,AK,5,<5,2023/2024,10/31/23
020013000635,SIDNEY C. HUNTINGTON JR/SR HIGH SCHOOL,GALENA,AK,<5,<5,2023/2024,10/31/23
020024000143,SITKA HIGH SCHOOL,SITKA,AK,40,40,2023/2024,10/31/23
020069000310,SKAGWAY SCHOOL,SKAGWAY,AK,7,7,2023/2024,10/31/23
020039000542,SOLDOTNA HIGH SCHOOL,SOLDOTNA,AK,52,51,2023/2024,10/31/23
020018000454,SOUTH ANCHORAGE HIGH SCHOOL,ANCHORAGE,AK,178,168,2023/2024,10/31/23
020018000115,STELLER SECONDARY SCHOOL,ANCHORAGE,AK,28,27,2023/2024,10/31/23
020051000232,SUSITNA VALLEY HIGH,TALKEETNA,AK,15,13,2023/2024,10/31/23
020021000737,THUNDER MOUNTAIN HIGH SCHOOL,JUNEAU,AK,73,72,2023/2024,10/31/23
020061000289,TIKIGAQ SCHOOL,POINT HOPE,AK,8,7,2023/2024,10/31/23
020071000338,TOGIAK SCHOOL,TOGIAK,AK,9,8,2023/2024,10/31/23
020005000028,TOK SCHOOL,TOK,AK,5,5,2023/2024,10/31/23
020077000357,TRI-VALLEY SCHOOL,HEALY,AK,<5,<5,2023/2024,10/31/23
020051000469,TWINDLY BRIDGE CHARTER SCHOOL,WASILLA,AK,5,<5,2023/2024,10/31/23
020002000017,UNALAKLEET SCHOOL,UNALAKLEET,AK,<5,<5,2023/2024,10/31/23
020072000661,UNALASKA JR/SR HIGH SCHOOL,UNALASKA,AK,16,13,2023/2024,10/31/23
020078000370,VALDEZ HIGH SCHOOL,VALDEZ,AK,19,19,2023/2024,10/31/23
020051000425,VALLEY PATHWAYS,PALMER,AK,16,14,2023/2024,10/31/23
020051000237,WASILLA HIGH SCHOOL,WASILLA,AK,49,47,2023/2024,10/31/23
020018000120,WEST HIGH SCHOOL,ANCHORAGE,AK,198,190,2023/2024,10/31/23
020060000281,WEST VALLEY HIGH SCHOOL,FAIRBANKS,AK,118,114,2023/2024,10/31/23
020081000576,WRANGELL HIGH SCHOOL,WRANGELL,AK,13,11,2023/2024,10/31/23
020000100439,Z. JOHN WILLIAMS MEMORIAL SCHOOL,NAPASKIAK,AK,5,5,2023/2024,10/31/23
00001026,ABBEVILLE CHRISTIAN ACADEMY,ABBEVILLE,AL,19,19,2023/2024,10/31/23
010174000600,ABBEVILLE HIGH SCHOOL,ABBEVILLE,AL,32,29,2023/2024,10/31/23
01FP00000002,ACCEL DAY AND EVENING ACADEMY,MOBILE,AL,54,35,2023/2024,10/31/23
010358001356,ADDISON HIGH SCHOOL,ADDISON,AL,24,23,2023/2024,10/31/23
A1500002,ADULLAM HOUSE CHRISTIAN ACADEMY,WETUMPKA,AL,5,5,2023/2024,10/31/23
01FN00360,AGAPE ACADEMY,PINSON,AL,5,5,2023/2024,10/31/23
00002788,ALABAMA CHRISTIAN ACADEMY,MONTGOMERY,AL,47,47,2023/2024,10/31/23
010210002436,ALABAMA CONNECTIONS ACADEMY,ATHENS,AL,269,247,2023/2024,10/31/23
010018802514,ALABAMA DESTINATIONS CAREER ACADEMY,CHICKASAW,AL,5,5,2023/2024,10/31/23
010018802514,ALABAMA DESTINATIONS CAREER ACADEMY,MOBILE,AL,6,6,2023/2024,10/31/23
A1192001,ALABAMA GULF COAST CHRISTIAN ACADEMY,FOLEY,AL,8,8,2023/2024,10/31/23
010000901404,ALABAMA SCHOOL FOR BLIND,TALLADEGA,AL,7,7,2023/2024,10/31/23
010000901403,ALABAMA SCHOOL FOR DEAF,TALLADEGA,AL,9,8,2023/2024,10/31/23
01FP00000001,ALABAMA SCHOOL OF CYBER TECHNOLOGY AND ENGINEERING,HUNTSVILLE,AL,14,14,2023/2024,10/31/23
010001802104,ALABAMA SCHOOL OF FINE ARTS,BIRMINGHAM,AL,54,53,2023/2024,10/31/23
01FP00000003,ALABAMA SCHOOL OF MATH AND SCIENCE,MOBILE,AL,70,70,2023/2024,10/31/23
010141002439,ALABAMA VIRTUAL ACADEMY AT EUFAULA CITY SCHOOLS,EUFAULA,AL,80,75,2023/2024,10/31/23
010248001696,ALBERT P BREWER HIGH SCHOOL,SOMERVILLE,AL,86,80,2023/2024,10/31/23
010000500871,ALBERTVILLE HIGH SCHOOL,ALBERTVILLE,AL,218,200,2023/2024,10/31/23
010054000232,ALEXANDRIA HIGH SCHOOL,ALEXANDRIA,AL,71,68,2023/2024,10/31/23
010273001098,ALICEVILLE HIGH SCHOOL,ALICEVILLE,AL,49,45,2023/2024,10/31/23
010237000989,ALMA BRYANT HIGH SCHOOL,IRVINGTON,AL,210,190,2023/2024,10/31/23
010225000852,AMELIA L JOHNSON HIGH SCHOOL,THOMASTON,AL,17,16,2023/2024,10/31/23
02001272,AMERICAN CHRISTIAN ACADEMY,TUSCALOOSA,AL,40,40,2023/2024,10/31/23
010006000007,ANDALUSIA HIGH SCHOOL,ANDALUSIA,AL,86,83,2023/2024,10/31/23
010009000011,ANNISTON HIGH SCHOOL,ANNISTON,AL,71,63,2023/2024,10/31/23
010042000203,APPALACHIAN SCHOOL,ONEONTA,AL,26,26,2023/2024,10/31/23
010010000028,ARAB HIGH SCHOOL,ARAB,AL,151,144,2023/2024,10/31/23
010210000797,ARDMORE HIGH SCHOOL,ARDMORE,AL,94,92,2023/2024,10/31/23
010105000388,ARITON SCHOOL,ARITON,AL,47,47,2023/2024,10/31/23
010000600872,ASBURY HIGH SCHOOL,ALBERTVILLE,AL,46,42,2023/2024,10/31/23
010177000611,ASHFORD HIGH SCHOOL,ASHFORD,AL,42,41,2023/2024,10/31/23
010306201362,ASHVILLE HIGH SCHOOL,ASHVILLE,AL,40,38,2023/2024,10/31/23
00001445,ATHENS BIBLE SCHOOL,ATHENS,AL,15,14,2023/2024,10/31/23
010012001472,ATHENS HIGH SCHOOL,ATHENS,AL,162,149,2023/2024,10/31/23
010012002417,ATHENS RENAISSANCE SCHOOL,ATHENS,AL,48,46,2023/2024,10/31/23
010021000036,AUBURN HIGH SCHOOL,AUBURN,AL,496,471,2023/2024,10/31/23
010117000426,AUSTIN HIGH SCHOOL,DECATUR,AL,234,213,2023/2024,10/31/23
00002722,AUTAUGA ACADEMY,PRATTVILLE,AL,17,15,2023/2024,10/31/23
010024001408,AUTAUGAVILLE SCHOOL,AUTAUGAVILLE,AL,13,11,2023/2024,10/31/23
01FN00282,AVALON CHRISTIAN ACADEMY,MT VERNON,AL,<5,<5,2023/2024,10/31/23
01FN00282,AVALON CHRISTIAN ACADEMY,MOBILE,AL,7,6,2023/2024,10/31/23
010237000899,BAKER HIGH SCHOOL,MOBILE,AL,378,359,2023/2024,10/31/23
010027001810,BALDWIN COUNTY HIGH SCHOOL,BAY MINETTE,AL,121,120,2023/2024,10/31/23
010027002443,BALDWIN COUNTY VIRTUAL SCHOOL,FAIRHOPE,AL,<5,<5,2023/2024,10/31/23
010027002443,BALDWIN COUNTY VIRTUAL SCHOOL,DAPHNE,AL,72,69,2023/2024,10/31/23
01FN00050,BANKS ACADEMY,BIRMINGHAM,AL,11,9,2023/2024,10/31/23
010030000074,BARBOUR COUNTY HIGH SCHOOL,CLAYTON,AL,27,24,2023/2024,10/31/23
A1900005,BAYSHORE CHRISTIAN SCHOOL,FAIRHOPE,AL,17,17,2023/2024,10/31/23
A0500005,BAYSIDE ACADEMY,DAPHNE,AL,32,31,2023/2024,10/31/23
010318001210,BB COMER MEMORIAL HIGH SCHOOL,SYLACAUGA,AL,34,30,2023/2024,10/31/23
010207000790,BEAUREGARD HIGH SCHOOL,OPELIKA,AL,105,95,2023/2024,10/31/23
010159000541,BELGREEN HIGH SCHOOL,RUSSELLVILLE,AL,17,16,2023/2024,10/31/23
010237000898,BEN C RAIN HIGH SCHOOL,MOBILE,AL,83,71,2023/2024,10/31/23
010003000003,BENJAMIN RUSSELL HIGH SCHOOL,ALEXANDER CITY,AL,128,121,2023/2024,10/31/23
010147000521,BERRY HIGH SCHOOL,BERRY,AL,23,21,2023/2024,10/31/23
00000849,BESSEMER ACADEMY,BESSEMER,AL,24,23,2023/2024,10/31/23
010033000087,BESSEMER CITY HIGH SCHOOL,BESSEMER,AL,102,89,2023/2024,10/31/23
010207000791,BEULAH HIGH SCHOOL,VALLEY,AL,49,47,2023/2024,10/31/23
010036000092,BIBB COUNTY HIGH SCHOOL,CENTREVILLE,AL,59,58,2023/2024,10/31/23
010024000045,BILLINGSLEY HIGH SCHOOL,BILLINGSLEY,AL,26,26,2023/2024,10/31/23
010001200874,BOAZ HIGH SCHOOL,BOAZ,AL,117,110,2023/2024,10/31/23
010000800831,BOB JONES HIGH SCHOOL,MADISON,AL,341,323,2023/2024,10/31/23
010219001811,BOOKER T WASHINGTON HIGH,TUSKEGEE,AL,86,79,2023/2024,10/31/23
010243000504,BOOKER T WASHINGTON MAGNET HIGH SCHOOL,MONTGOMERY,AL,91,89,2023/2024,10/31/23
010096000365,BRANTLEY HIGH SCHOOL,BRANTLEY,AL,36,36,2023/2024,10/31/23
010243001457,BREWBAKER TECHNOLOGY MAGNET HIGH SCHOOL,MONTGOMERY,AL,114,111,2023/2024,10/31/23
01926233,BRIARWOOD CHRISTIAN SCHOOL,BIRMINGHAM,AL,89,85,2023/2024,10/31/23
010231000862,BRILLIANT HIGH SCHOOL,BRILLIANT,AL,20,19,2023/2024,10/31/23
010000601585,BRINDLEE MOUNTAIN HIGH SCHOOL,GUNTERSVILLE,AL,52,46,2023/2024,10/31/23
02000665,BROOKLANE BAPTIST ACADEMY,HUEYTOWN,AL,<5,<5,2023/2024,10/31/23
010201000764,BROOKS HIGH SCHOOL,KILLEN,AL,88,86,2023/2024,10/31/23
010339001274,BROOKWOOD HIGH SCHOOL,BROOKWOOD,AL,130,115,2023/2024,10/31/23
010222001683,BUCKHORN HIGH SCHOOL,NEW MARKET,AL,213,200,2023/2024,10/31/23
010048000218,BULLOCK COUNTY HIGH SCHOOL,UNION SPRINGS,AL,47,46,2023/2024,10/31/23
010303001170,CALERA HIGH,CALERA,AL,130,125,2023/2024,10/31/23
010216000815,CALHOUN HIGH SCHOOL,LETOHATCHEE,AL,19,17,2023/2024,10/31/23
010345000135,CARBON HILL HIGH SCHOOL,CARBON HILL,AL,45,41,2023/2024,10/31/23
010264001080,CARROLL HIGH SCHOOL,OZARK,AL,110,102,2023/2024,10/31/23
010243001015,CARVER SENIOR HIGH SCHOOL,MONTGOMERY,AL,111,97,2023/2024,10/31/23
010063000274,CEDAR BLUFF HIGH SCHOOL,CEDAR BLUFF,AL,32,31,2023/2024,10/31/23
010192000702,CENTER POINT HIGH SCHOOL,CENTER POINT,AL,119,102,2023/2024,10/31/23
00001682,CENTRAL CHRISTIAN SCHOOL,ROBERTSDALE,AL,9,8,2023/2024,10/31/23
010270001088,CENTRAL HIGH SCHOOL,PHENIX CITY,AL,348,327,2023/2024,10/31/23
010336001608,CENTRAL HIGH SCHOOL,TUSCALOOSA,AL,108,102,2023/2024,10/31/23
010201000765,CENTRAL HIGH SCHOOL,FLORENCE,AL,61,60,2023/2024,10/31/23
010090001749,CENTRAL HIGH SCHOOL,ROCKFORD,AL,22,20,2023/2024,10/31/23
010216000817,CENTRAL HIGH SCHOOL,HAYNEVILLE,AL,29,27,2023/2024,10/31/23
010075002210,CENTRAL HIGH SCHOOL OF CLAY COUNTY,LINEVILLE,AL,85,82,2023/2024,10/31/23
010237000964,CF VIGOR HIGH SCHOOL,PRICHARD,AL,85,79,2023/2024,10/31/23
00001693,CHAMBERS ACADEMY,LAFAYETTE,AL,11,11,2023/2024,10/31/23
CB040017,CHAPMAN CHRISTIAN ACADEMY,MILLBROOK,AL,<5,<5,2023/2024,10/31/23
010333001602,CHARLES HENDERSON HIGH SCHOOL,TROY,AL,72,66,2023/2024,10/31/23
010303001171,CHELSEA HIGH SCHOOL,CHELSEA,AL,251,241,2023/2024,10/31/23
010063000278,CHEROKEE COUNTY HIGH SCHOOL,CENTRE,AL,75,75,2023/2024,10/31/23
010084000333,CHEROKEE HIGH SCHOOL,CHEROKEE,AL,29,29,2023/2024,10/31/23
010018802194,CHICKASAW CITY HIGH SCHOOL,CHICKASAW,AL,46,40,2023/2024,10/31/23
010318001213,CHILDERSBURG HIGH SCHOOL,CHILDERSBURG,AL,55,53,2023/2024,10/31/23
AA000278,CHILTON CHRISTIAN ACADEMY,JEMISON,AL,5,5,2023/2024,10/31/23
010066001491,CHILTON COUNTY HIGH SCHOOL,CLANTON,AL,100,93,2023/2024,10/31/23
010069000291,CHOCTAW COUNTY HIGH SCHOOL,BUTLER,AL,44,41,2023/2024,10/31/23
A0500011,CHURCHILL ACADEMY,MONTGOMERY,AL,<5,<5,2023/2024,10/31/23
010237000906,CITRONELLE HIGH SCHOOL,CITRONELLE,AL,131,117,2023/2024,10/31/23
010072000298,CLARKE COUNTY HIGH SCHOOL,GROVE HILL,AL,37,34,2023/2024,10/31/23
A0100108,CLARKE PREP SCHOOL,GROVE HILL,AL,24,23,2023/2024,10/31/23
A0500025,CLAY COUNTY CHRISTIAN ACADEMY,ASHLAND,AL,5,<5,2023/2024,10/31/23
010192000469,CLAYCHALKVILLE HIGH SCHOOL,PINSON,AL,213,186,2023/2024,10/31/23
010078000318,CLEBURNE COUNTY HIGH SCHOOL,HEFLIN,AL,71,68,2023/2024,10/31/23
010210000799,CLEMENTS HIGH SCHOOL,ATHENS,AL,51,47,2023/2024,10/31/23
010042000206,CLEVELAND HIGH SCHOOL,CLEVELAND,AL,44,41,2023/2024,10/31/23
010084000334,COLBERT COUNTY HIGH SCHOOL,LEIGHTON,AL,39,37,2023/2024,10/31/23
010084000335,COLBERT HEIGHTS HIGH SCHOOL,TUSCUMBIA,AL,47,45,2023/2024,10/31/23
010102000374,COLD SPRINGS HIGH SCHOOL,BREMEN,AL,42,40,2023/2024,10/31/23
010114000411,COLLINSVILLE HIGH SCHOOL,COLLINSVILLE,AL,43,41,2023/2024,10/31/23
010180001651,COLUMBIA HIGH SCHOOL,HUNTSVILLE,AL,96,85,2023/2024,10/31/23
A0500012,COLUMBUS GIRLS ACADEMY,SEALE,AL,5,<5,2023/2024,10/31/23
A0500013,CONECUH SPRINGS CHRISTIAN SCHOOL,UNION SPRINGS,AL,<5,<5,2023/2024,10/31/23
01FN00224,CONTEMPORARY EDUCATION ACADEMY,HUNTSVILLE,AL,8,8,2023/2024,10/31/23
02187186,COOSA CHRISTIAN SCHOOL,GADSDEN,AL,14,14,2023/2024,10/31/23
00001729,COOSA VALLEY ACADEMY,HARPERSVILLE,AL,12,11,2023/2024,10/31/23
010345001308,CORDOVA HIGH SCHOOL,CORDOVA,AL,67,61,2023/2024,10/31/23
010192000698,CORNER HIGH SCHOOL,DORA,AL,92,87,2023/2024,10/31/23
A0770032,CORNERSTONE CHRISTIAN ACADEMY,RAINSVILLE,AL,23,23,2023/2024,10/31/23
A9900015,CORNERSTONE CHRISTIAN SCHOOL,COLUMBIANA,AL,8,8,2023/2024,10/31/23
BB170001,CORNERSTONE CLASSICAL CHRISTIAN ACADEMY,MONTGOMERY,AL,<5,<5,2023/2024,10/31/23
A9500008,CORNERSTONE SCHOOLS OF ALABAMA,BIRMINGHAM,AL,23,22,2023/2024,10/31/23
A0100110,COTTAGE HILL CHRISTIAN ACADEMY - WEST CAMPUS,MOBILE,AL,41,38,2023/2024,10/31/23
010177000612,COTTONWOOD HIGH SCHOOL,COTTONWOOD,AL,43,39,2023/2024,10/31/23
A9300007,COVENANT CHRISTIAN SCHOOL,TUSCUMBIA,AL,10,10,2023/2024,10/31/23
A0300019,CRENSHAW CHRISTIAN ACADEMY,LUVERNE,AL,8,8,2023/2024,10/31/23
01FN00308,CROSSROADS CHRISTIAN S,MOODY,AL,23,23,2023/2024,10/31/23
010114001860,CROSSVILLE HIGH SCHOOL,CROSSVILLE,AL,85,81,2023/2024,10/31/23
010099000370,CULLMAN HIGH SCHOOL,CULLMAN,AL,177,173,2023/2024,10/31/23
010345001310,CURRY HIGH SCHOOL,JASPER,AL,56,55,2023/2024,10/31/23
010321001229,DADEVILLE HIGH SCHOOL,DADEVILLE,AL,64,57,2023/2024,10/31/23
010105000389,DALE COUNTY HIGH SCHOOL,MIDLAND CITY,AL,54,51,2023/2024,10/31/23
010108000394,DALEVILLE HIGH SCHOOL,DALEVILLE,AL,47,41,2023/2024,10/31/23
010111000397,DALLAS COUNTY HIGH SCHOOL,PLANTERSVILLE,AL,48,44,2023/2024,10/31/23
010248001042,DANVILLE HIGH SCHOOL,DANVILLE,AL,50,46,2023/2024,10/31/23
010027001759,DAPHNE HIGH SCHOOL,DAPHNE,AL,298,294,2023/2024,10/31/23
00001944,DECATUR HERITAGE CHRISTIAN ACADEMY,DECATUR,AL,16,16,2023/2024,10/31/23
010117000429,DECATUR HIGH SCHOOL,DECATUR,AL,161,147,2023/2024,10/31/23
010120000148,DEMOPOLIS HIGH SCHOOL,DEMOPOLIS,AL,101,95,2023/2024,10/31/23
010342001297,DESHLER HIGH SCHOOL,TUSCUMBIA,AL,75,73,2023/2024,10/31/23
01FN00031,DISCOVERY CHRISTIAN SCHOOL,AUBURN,AL,7,7,2023/2024,10/31/23
010345001311,DORA HIGH SCHOOL,DORA,AL,74,71,2023/2024,10/31/23
010123002512,DOTHAN CITY VIRTUAL SCHOOL,DOTHAN,AL,<5,<5,2023/2024,10/31/23
010123001501,DOTHAN HIGH SCHOOL,DOTHAN,AL,309,296,2023/2024,10/31/23
010000600878,DOUGLAS HIGH SCHOOL,DOUGLAS,AL,106,99,2023/2024,10/31/23
010204001546,EAST LAWRENCE HIGH SCHOOL,TRINITY,AL,58,54,2023/2024,10/31/23
010210000800,EAST LIMESTONE HIGH SCHOOL,ATHENS,AL,120,115,2023/2024,10/31/23
A0100134,EASTWOOD CHRISTIAN SCHOOL,MONTGOMERY,AL,11,11,2023/2024,10/31/23
010129002494,EDGE VIRTUAL SCHOOL,WETUMPKA,AL,22,19,2023/2024,10/31/23
00001864,EDGEWOOD ACADEMY,ELMORE,AL,16,16,2023/2024,10/31/23
010126000461,ELBA HIGH SCHOOL,ELBA,AL,35,32,2023/2024,10/31/23
010027000057,ELBERTA HIGH SCHOOL,ELBERTA,AL,90,83,2023/2024,10/31/23
010210001549,ELKMONT HIGH SCHOOL,ELKMONT,AL,56,50,2023/2024,10/31/23
01FN00395,ELLWOOD CHRISTIAN ACADEMY,SELMA,AL,<5,<5,2023/2024,10/31/23
010129000463,ELMORE COUNTY HIGH SCHOOL,ECLECTIC,AL,90,86,2023/2024,10/31/23
00002802,EMMANUEL CHRISTIAN SCHOOL,DOTHAN,AL,11,9,2023/2024,10/31/23
